name,main_category,main_cat_url,exist
Become Jehovah's Friend—Songs,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Become Jehovah's Friend—Video Lessons,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Dig for Treasures,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,False
Enjoy Life Forever!—Videos,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,False
Essential Bible Teachings,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
For a Happy Marriage,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Imitate Their Faith,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Introduction to Bible Books,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Iron Sharpens Iron,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Learn From Jehovah’s Friends,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Learn From Them,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Lessons From The Watchtower,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Love People—Make Disciples,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
My Teen Life,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Neeta and Jade,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Organizational Accomplishments,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Our History in Motion,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Reasons for Faith,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
The Bible Changes Lives,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
The Good News According to Jesus,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Truth Transforms Lives,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Viewpoints on the Origin of Life,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Was It Designed?,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Website and App Help,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,False
What Your Peers Say,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Where Are They Now?,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Whiteboard Animations,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Original Songs,Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Children’s Songs,Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Convention Music Presentations,Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Making Music,Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Sing to Jehovah,Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Truth Transforms Lives,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
Blessings of Sacred Service,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
Enduring Trials,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
Young People,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
Science,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
From Our Archives,Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
